campo,valor
timestamp,2026-04-15T16:08:21
hostname,MacBook-Air-de-Alvaro.local
sistema,Darwin
versao_sistema,Darwin Kernel Version 25.3.0: Wed Jan 28 20:53:31 PST 2026; root:xnu-12377.91.3~2/RELEASE_ARM64_T8103
release,25.3.0
arquitetura,arm64
processador,arm
python_versao,3.9.6
cpu_fisicas,8
cpu_logicas,8
memoria_total_gb,8.000000
memoria_disponivel_gb,1.457336
memoria_utilizada_percent,81.800000
rss_processo_mb,216.796875
vms_processo_mb,425556.546875
loadavg_1min,2.386719
loadavg_5min,2.113770
loadavg_15min,2.288086
