gerador,amostra,tempo_medio_s,tempo_mediano_s,tempo_min_s,tempo_max_s,ns_por_numero_medio,ns_por_numero_min,ns_por_numero_max,qui2_medio,qui2_min,qui2_max,p_medio,p_min,p_max,rss_medio_mb,rss_min_mb,rss_max_mb,aprovados,reprovados,taxa_aprovacao_percent
GNPA original,1000,0.008150412,0.008136709,0.008023708,0.008429000,8150.412300000,8023.708000000,8429.000000000,65.459200000,40.512000000,82.624000000,0.440011645,0.049272538,0.987679658,73.798438,73.750000,73.812500,8,2,80.00
GNPA original,10000,0.082241450,0.082143792,0.081229833,0.083958458,8224.144990000,8122.983300000,8395.845800000,62.862080000,49.228800000,72.934400000,0.485321464,0.183777986,0.897799518,74.450000,74.109375,74.500000,10,0,100.00
GNPA original,100000,0.815075454,0.814745666,0.808633750,0.825742333,8150.754540000,8086.337500000,8257.423330000,68.193280000,50.328320000,88.048640000,0.382724244,0.020308015,0.875836544,79.873437,77.968750,80.734375,9,1,90.00
GNPA original,1000000,8.224165954,8.227386917,8.125066000,8.275017000,8224.165954200,8125.066000000,8275.017000000,94.809459200,79.723648000,130.228480000,0.026573463,0.000001365,0.075853585,125.156250,97.359375,146.390625,2,8,20.00
GNPA otimizado,1000,0.008539450,0.008516938,0.008411000,0.008700834,8539.450300000,8410.999999995,8700.833999995,65.459200000,40.512000000,82.624000000,0.440011645,0.049272538,0.987679658,74.614063,74.593750,74.625000,8,2,80.00
GNPA otimizado,10000,0.085043988,0.085055875,0.084826292,0.085169208,8504.398760000,8482.629200000,8516.920800001,62.862080000,49.228800000,72.934400000,0.485321464,0.183777986,0.897799518,74.628125,74.625000,74.640625,10,0,100.00
GNPA otimizado,100000,0.853061479,0.852417125,0.849007917,0.859525833,8530.614790000,8490.079170000,8595.258330000,68.193280000,50.328320000,88.048640000,0.382724244,0.020308015,0.875836544,61.576563,59.843750,62.640625,9,1,90.00
GNPA otimizado,1000000,8.565286933,8.567238666,8.507504791,8.593268500,8565.286933200,8507.504791000,8593.268500000,94.809459200,79.723648000,130.228480000,0.026573463,0.000001365,0.075853585,99.493750,82.703125,107.578125,2,8,20.00
Mersenne Twister,1000,0.000162096,0.000160979,0.000160750,0.000167041,162.095700000,160.750000020,167.040999997,63.603200000,50.240000000,72.896000000,0.465524969,0.184603859,0.877701246,66.543750,66.531250,66.546875,10,0,100.00
Mersenne Twister,10000,0.001589938,0.001582916,0.001564833,0.001632458,158.993750000,156.483300000,163.245800002,63.568640000,51.801600000,76.825600000,0.474774251,0.113134096,0.842162205,66.556250,66.546875,66.562500,10,0,100.00
Mersenne Twister,100000,0.015995996,0.016040083,0.015683625,0.016134792,159.959960000,156.836250000,161.347920000,64.017664000,47.299840000,81.224960000,0.464929138,0.060904545,0.929841024,67.723438,66.562500,68.390625,10,0,100.00
Mersenne Twister,1000000,0.162530596,0.162732146,0.159364500,0.163735250,162.530596000,159.364500000,163.735250000,68.772505600,54.757376000,86.809088000,0.390869451,0.025086496,0.760812313,139.170312,103.953125,173.921875,7,3,70.00
