gerador,amostra,tempo_medio_s,tempo_mediano_s,tempo_min_s,tempo_max_s,ns_por_numero_medio,ns_por_numero_min,ns_por_numero_max,qui2_medio,qui2_min,qui2_max,p_medio,p_min,p_max,rss_medio_mb,rss_min_mb,rss_max_mb,aprovados,reprovados,taxa_aprovacao_percent
GNPA,1000,0.010009029,0.010031542,0.009794292,0.010241083,10009.029200000,9794.292000000,10241.083000000,77.376000000,77.376000000,77.376000000,0.105122015,0.105122015,0.105122015,73.376563,73.312500,73.390625,10,0,100.00
GNPA,10000,0.098927267,0.098863938,0.097946708,0.099595458,9892.726670000,9794.670800000,9959.545800000,69.132800000,69.132800000,69.132800000,0.278085642,0.278085642,0.278085642,74.045312,73.671875,74.109375,10,0,100.00
GNPA,100000,0.990195329,0.991904687,0.979184084,1.000776833,9901.953292000,9791.840840000,10007.768330000,89.834240000,89.834240000,89.834240000,0.014847452,0.014847452,0.014847452,79.540625,77.546875,80.328125,0,10,0.00
GNPA,1000000,10.029165004,10.032282000,9.992276250,10.089370041,10029.165004000,9992.276250000,10089.370041000,86.122496000,86.122496000,86.122496000,0.028139715,0.028139715,0.028139715,105.345313,93.890625,128.093750,0,10,0.00
Mersenne Twister,1000,0.000080412,0.000079146,0.000078583,0.000090792,80.412499997,78.582999990,90.791999995,62.016000000,62.016000000,62.016000000,0.511411701,0.511411701,0.511411701,63.171875,63.171875,63.171875,10,0,100.00
Mersenne Twister,10000,0.000767338,0.000762896,0.000749208,0.000799292,76.733760000,74.920800000,79.929200000,56.384000000,56.384000000,56.384000000,0.709328752,0.709328752,0.709328752,63.185938,63.171875,63.187500,10,0,100.00
Mersenne Twister,100000,0.007739246,0.007682188,0.007477042,0.008058541,77.392458000,74.770420000,80.585410000,60.528640000,60.528640000,60.528640000,0.564930104,0.564930104,0.564930104,65.839062,64.125000,67.031250,10,0,100.00
Mersenne Twister,1000000,0.080290800,0.080164167,0.076229333,0.082481500,80.290800000,76.229333000,82.481500000,57.799296000,57.799296000,57.799296000,0.661610357,0.661610357,0.661610357,137.704688,101.953125,173.531250,10,0,100.00
RNN caótica simples,1000,0.000860271,0.000849062,0.000845792,0.000917792,860.270800000,845.792000007,917.791999996,4638.528000000,4638.528000000,4638.528000000,0.000000000,0.000000000,0.000000000,141.020312,141.015625,141.031250,0,10,0.00
RNN caótica simples,10000,0.008559658,0.008572521,0.008458667,0.008620000,855.965830000,845.866700000,862.000000001,46270.553600000,46270.553600000,46270.553600000,0.000000000,0.000000000,0.000000000,141.032813,141.031250,141.046875,0,10,0.00
RNN caótica simples,100000,0.087496537,0.086897708,0.085121125,0.092493916,874.965373000,851.211250000,924.939160000,463090.091520000,463090.091520000,463090.091520000,0.000000000,0.000000000,0.000000000,143.228125,141.515625,144.312500,0,10,0.00
RNN caótica simples,1000000,0.862309516,0.860550333,0.851289916,0.877276000,862.309516500,851.289916000,877.276000000,4631795.075456001,4631795.075456001,4631795.075456001,0.000000000,0.000000000,0.000000000,212.481250,176.468750,248.562500,0,10,0.00
